time,Purity
2023-03-13 19:43:36,100.9584
2023-03-13 19:43:42,100.9494
2023-03-13 19:43:47,100.9394
2023-03-13 19:43:52,100.9783
2023-03-13 19:43:57,100.9414
2023-03-13 19:44:02,100.9334
2023-03-13 19:44:07,100.9833
2023-03-13 19:44:12,100.9354
2023-03-13 19:44:17,100.9544
2023-03-13 19:44:22,100.9733
2023-03-13 19:44:27,100.9803
2023-03-13 19:44:32,100.9534
2023-03-13 19:44:37,100.9783
2023-03-13 19:44:42,100.9374
2023-03-13 19:44:47,100.9584
2023-03-13 19:44:52,100.9324
2023-03-13 19:44:57,100.9524
2023-03-13 19:45:02,100.9594
2023-03-13 19:45:07,100.9584
2023-03-13 19:45:12,100.9733
2023-03-13 19:45:18,100.9723
2023-03-13 19:45:23,100.9304
2023-03-13 19:45:28,101.0062
2023-03-13 19:45:33,100.9115
2023-03-13 19:45:38,100.9813
2023-03-13 19:45:43,100.9384
2023-03-13 19:45:48,100.9574
2023-03-13 19:45:53,100.9334
2023-03-13 19:45:58,100.9673
2023-03-13 19:46:03,100.9394
2023-03-13 19:46:08,100.9454
2023-03-13 19:46:13,100.9384
2023-03-13 19:46:18,100.9823
2023-03-13 19:46:23,100.9434
2023-03-13 19:46:28,100.9374
2023-03-13 19:46:33,100.9713
2023-03-13 19:46:38,100.9474
2023-03-13 19:46:43,100.9304
2023-03-13 19:46:48,101.0549
2023-03-13 19:46:53,100.9604
2023-03-13 19:46:59,100.9584
2023-03-13 19:47:04,100.9813
2023-03-13 19:47:09,100.9404
2023-03-13 19:47:14,100.9344
2023-03-13 19:47:19,100.9394
2023-03-13 19:47:24,100.9434
2023-03-13 19:47:29,100.9564
2023-03-13 19:47:34,100.9404
2023-03-13 19:47:39,100.9544
2023-03-13 19:47:44,100.9663
2023-03-13 19:47:49,100.9843
2023-03-13 19:47:54,100.9823
2023-03-13 19:47:59,100.9414
2023-03-13 19:48:04,100.9763
2023-03-13 19:48:09,100.9524
2023-03-13 19:48:14,100.9394
2023-03-13 19:48:19,100.9574
2023-03-13 19:48:24,100.9484
2023-03-13 19:48:29,100.9703
2023-03-13 19:48:35,100.9613
2023-03-13 19:48:40,100.9204
2023-03-13 19:48:45,101.0022
2023-03-13 19:48:50,100.9564
2023-03-13 19:48:55,100.9364
2023-03-13 19:49:00,100.9274
2023-03-13 19:49:05,100.9314
2023-03-13 19:49:10,100.9514
2023-03-13 19:49:15,101.026
2023-03-13 19:49:20,100.9394
2023-03-13 19:49:25,100.9314
2023-03-13 19:49:30,100.9344
2023-03-13 19:49:35,100.9753
2023-03-13 19:49:40,101.0032
2023-03-13 19:49:45,100.9444
2023-03-13 19:49:50,100.9663
2023-03-13 19:49:55,100.9613
2023-03-13 19:50:00,100.9244
2023-03-13 19:50:05,100.9284
2023-03-13 19:50:11,100.9873
2023-03-13 19:50:16,100.9384
2023-03-13 19:50:21,100.9444
2023-03-13 19:50:26,100.9653
2023-03-13 19:50:31,100.9494
2023-03-13 19:50:36,100.9484
2023-03-13 19:50:41,100.9514
2023-03-13 19:50:46,100.9494
2023-03-13 19:50:51,100.9234
2023-03-13 19:50:56,100.9374
2023-03-13 19:51:01,100.9274
2023-03-13 19:51:06,100.9544
2023-03-13 19:51:11,101.0151
2023-03-13 19:51:16,100.9364
2023-03-13 19:51:21,100.9314
2023-03-13 19:51:26,100.9663
2023-03-13 19:51:31,100.9334
2023-03-13 19:51:36,100.9833
2023-03-13 19:51:41,100.9244
2023-03-13 19:51:47,100.9564
2023-03-13 19:51:52,100.9334
2023-03-13 19:51:57,100.9464
2023-03-13 19:52:02,100.9474
2023-03-13 19:52:07,100.9544
2023-03-13 19:52:12,100.9464
2023-03-13 19:52:17,100.9653
2023-03-13 19:52:22,100.9274
2023-03-13 19:52:27,100.9783
2023-03-13 19:52:32,100.9504
2023-03-13 19:52:37,100.9683
2023-03-13 19:52:42,100.9564
2023-03-13 19:52:47,100.9065
2023-03-13 19:52:52,100.9673
2023-03-13 19:52:57,100.9743
2023-03-13 19:53:02,100.9294
2023-03-13 19:53:07,100.9783
2023-03-13 19:53:12,100.9504
2023-03-13 19:53:17,100.9394
2023-03-13 19:53:23,100.9504
2023-03-13 19:53:28,100.9952
2023-03-13 19:53:33,100.9384
2023-03-13 19:53:38,100.9514
2023-03-13 19:53:43,100.9344
2023-03-13 19:53:48,100.9274
2023-03-13 19:53:53,100.9234
2023-03-13 19:53:58,100.9763
2023-03-13 19:54:03,100.9793
2023-03-13 19:54:08,100.9813
2023-03-13 19:54:13,100.9224
2023-03-13 19:54:18,100.9374
2023-03-13 19:54:23,100.9344
2023-03-13 19:54:28,100.9514
2023-03-13 19:54:33,100.9454
2023-03-13 19:54:38,100.9534
2023-03-13 19:54:43,100.9384
2023-03-13 19:54:48,100.9394
2023-03-13 19:54:53,100.9693
2023-03-13 19:54:58,100.9444
2023-03-13 19:55:04,100.9534
2023-03-13 19:55:09,101.0022
2023-03-13 19:55:14,100.9274
2023-03-13 19:55:19,100.9504
2023-03-13 19:55:24,100.9464
2023-03-13 19:55:29,100.9484
2023-03-13 19:55:34,100.9564
2023-03-13 19:55:39,100.9244
2023-03-13 19:55:44,100.9314
2023-03-13 19:55:49,100.9504
2023-03-13 19:55:54,100.9165
2023-03-13 19:55:59,100.9414
2023-03-13 19:56:04,100.9304
2023-03-13 19:56:09,100.9723
2023-03-13 19:56:14,100.9304
2023-03-13 19:56:19,100.9564
2023-03-13 19:56:24,100.9304
2023-03-13 19:56:29,100.9304
2023-03-13 19:56:34,100.9244
2023-03-13 19:56:40,100.9254
2023-03-13 19:56:45,100.9085
2023-03-13 19:56:50,100.9274
2023-03-13 19:56:55,100.9154
2023-03-13 19:57:00,100.9853
2023-03-13 19:57:05,100.9454
2023-03-13 19:57:10,101.0032
2023-03-13 19:57:15,100.9424
2023-03-13 19:57:20,100.9364
2023-03-13 19:57:25,100.9484
2023-03-13 19:57:30,100.9544
2023-03-13 19:57:35,100.9833
2023-03-13 19:57:40,100.9584
2023-03-13 19:57:45,100.9374
2023-03-13 19:57:50,100.9524
2023-03-13 19:57:55,100.9813
2023-03-13 19:58:00,100.9304
2023-03-13 19:58:05,100.9444
2023-03-13 19:58:10,100.9703
2023-03-13 19:58:16,100.9803
2023-03-13 19:58:21,100.9902
2023-03-13 19:58:26,100.9982
2023-03-13 19:58:31,100.9344
2023-03-13 19:58:36,100.9853
2023-03-13 19:58:41,100.9434
2023-03-13 19:58:46,100.9394
2023-03-13 19:58:51,100.9434
2023-03-13 19:58:56,100.9334
2023-03-13 19:59:01,100.9564
2023-03-13 19:59:06,100.9713
2023-03-13 19:59:11,100.9364
2023-03-13 19:59:16,100.9912
2023-03-13 19:59:21,100.9613
2023-03-13 19:59:26,100.9972
2023-03-13 19:59:31,100.9703
2023-03-13 19:59:36,100.9833
2023-03-13 19:59:41,100.9394
2023-03-13 19:59:46,100.9504
2023-03-13 19:59:52,101.0678
2023-03-13 19:59:57,100.9673
2023-03-13 20:00:02,100.9623
2023-03-13 20:00:07,100.9384
2023-03-13 20:00:12,100.9534
2023-03-13 20:00:17,100.9902
2023-03-13 20:00:23,100.9544
2023-03-13 20:00:28,100.9912
2023-03-13 20:00:33,100.9723
2023-03-13 20:00:38,100.9324
2023-03-13 20:00:43,100.9594
2023-03-13 20:00:48,100.9653
2023-03-13 20:00:53,100.9484
2023-03-13 20:00:58,100.9823
2023-03-13 20:01:03,100.9045
2023-03-13 20:01:07,100.9304
2023-03-13 20:01:12,100.9713
2023-03-13 20:01:17,100.9384
2023-03-13 20:01:22,100.9663
2023-03-13 20:01:28,100.9584
2023-03-13 20:01:33,100.9314
2023-03-13 20:01:38,100.9783
2023-03-13 20:01:43,100.9484
2023-03-13 20:01:48,100.9115
2023-03-13 20:01:53,100.9444
2023-03-13 20:01:58,100.9683
2023-03-13 20:02:03,100.9464
2023-03-13 20:02:08,100.9374
2023-03-13 20:02:13,100.9633
2023-03-13 20:02:18,100.9594
2023-03-13 20:02:23,100.9494
2023-03-13 20:02:28,100.9394
2023-03-13 20:02:33,100.9962
2023-03-13 20:02:38,100.9304
2023-03-13 20:02:43,100.9534
2023-03-13 20:02:48,100.9264
2023-03-13 20:02:53,100.9693
2023-03-13 20:02:58,100.9643
2023-03-13 20:03:03,100.9524
2023-03-13 20:03:09,100.9584
2023-03-13 20:03:14,100.9304
2023-03-13 20:03:19,100.9474
2023-03-13 20:03:24,100.9234
2023-03-13 20:03:29,100.9604
2023-03-13 20:03:34,100.9653
2023-03-13 20:03:39,100.9504
2023-03-13 20:03:44,100.9454
2023-03-13 20:03:49,100.8945
2023-03-13 20:03:54,100.9633
2023-03-13 20:03:59,100.9284
2023-03-13 20:04:04,100.9334
2023-03-13 20:04:09,100.9304
2023-03-13 20:04:14,100.9623
2023-03-13 20:04:19,100.9613
