time,Air Velocity (m/s),BGA He Percent (%),BGA Sound Speed (m/s),Fixed Distance (m),He Velocity (m/s),Measured Distance (m),Mixture Velocity (m/s),Percent He (%),Pressure (PSIG),Temperature (K)
2023-04-13 13:15:00.923,331,95.48140716552734,894.9652709960938,0.800000011920929,973,0.30975693464279175,854.8638916015625,96.13298773765564,0.19353294372558594,295.6000061035156
2023-04-13 13:14:30.650,,95.51866149902344,895.8333129882812,,,0.30943286418914795,855.7592163085938,96.16844058036804,0.19676685333251953,
2023-04-13 13:14:00.733,331,95.55628204345703,896.701416015625,0.800000011920929,973,0.30910879373550415,856.6563720703125,96.20385766029358,0.20000076293945312,295.6000061035156
2023-04-13 13:13:30.880,,95.59281158447266,897.4971313476562,,,0.30878472328186035,857.555419921875,96.23923897743225,0.2032337188720703,
2023-04-13 13:13:00.686,331,95.62969970703125,898.3651123046875,0.800000011920929,973,0.3084953725337982,858.3598022460938,96.2708055973053,0.2064676284790039,295.5
2023-04-13 13:12:30.640,,95.66551208496094,899.160888671875,,,0.30819442868232727,859.1979370117188,96.30359411239624,0.2113180160522461,
2023-04-13 13:12:00.744,331,95.70204162597656,900.0289306640625,0.800000011920929,973,0.3078935146331787,860.0376586914062,96.33634686470032,0.21616840362548828,295.5
2023-04-13 13:11:30.835,,95.73892974853516,900.89697265625,,,0.3076041638851166,860.8466796875,96.3678240776062,0.22101879119873047,
2023-04-13 13:11:00.925,331,95.7732925415039,901.6926879882812,0.800000011920929,973,0.30730322003364563,861.689697265625,96.4005172252655,0.22425174713134766,295.5
2023-04-13 13:10:31.054,,95.81127166748047,902.560791015625,,,0.3070138990879059,862.501708984375,96.43192887306213,0.23071956634521484,
2023-04-13 13:10:00.649,331,95.8478012084961,903.4287719726562,0.800000011920929,973,0.3067013919353485,863.3805541992188,96.46581411361694,0.23718547821044922,295.5
2023-04-13 13:09:30.753,,95.88505554199219,904.296875,,,0.30645832419395447,864.0653686523438,96.49214744567871,0.2420358657836914,
2023-04-13 13:09:00.945,331,95.92122650146484,905.1649780273438,0.800000011920929,973,0.30616897344589233,864.8819580078125,96.52346968650818,0.2468862533569336,295.5
2023-04-13 13:08:30.943,,95.95558166503906,905.9606323242188,,,0.3058680593967438,865.7328491210938,96.55601382255554,0.2501192092895508,
2023-04-13 13:08:00.653,331,95.99175262451172,906.8286743164062,0.800000011920929,973,0.30559027194976807,866.519775390625,96.58603072166443,0.25820350646972656,295.3999938964844
2023-04-13 13:07:30.773,,96.02611541748047,907.69677734375,,,0.30526620149612427,867.439697265625,96.62100672721863,0.26305389404296875,
2023-04-13 13:07:00.871,331,96.06409454345703,908.5648193359375,0.800000011920929,973,0.3049652874469757,868.2955932617188,96.65345549583435,0.26952075958251953,295.3999938964844
2023-04-13 13:06:30.989,,96.09591674804688,909.2881469726562,,,0.3046412169933319,869.2192993164062,96.6883659362793,0.2743711471557617,
